date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,2,0,2,0,2,0,3,0,4,4,1,0,0,0,1,0,0,0,18,18,19,1894,0.0,0.0,0.0010559662090813,0.0,0.0010559662090813,0.0,0.0010559662090813,0.0,0.0015839493136219,0.0,0.0021119324181626,0.0021119324181626,0.0005279831045406,0.0,0.0,0.0,0.0005279831045406,0.0,0.0,0.0
2012-02-01,2012,2,3,0,1,0,0,0,0,1,1,0,3,1,0,0,0,2,0,0,0,0,11,11,12,1748,0.0017162471395881,0.0,0.0005720823798627,0.0,0.0,0.0,0.0,0.0005720823798627,0.0005720823798627,0.0,0.0017162471395881,0.0005720823798627,0.0,0.0,0.0,0.0011441647597254,0.0,0.0,0.0,0.0
2012-03-01,2012,3,0,1,3,0,4,0,1,0,3,0,5,5,0,2,0,0,0,0,0,0,22,22,24,1837,0.0,0.0005443658138268,0.0016330974414806,0.0,0.0021774632553075,0.0,0.0005443658138268,0.0,0.0016330974414806,0.0,0.0027218290691344,0.0027218290691344,0.0,0.0010887316276537,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,2012,4,0,0,1,0,11,0,5,0,5,1,3,2,0,1,1,0,0,0,1,0,28,28,31,1815,0.0,0.0,0.0005509641873278,0.0,0.006060606060606,0.0,0.0027548209366391,0.0,0.0027548209366391,0.0005509641873278,0.0016528925619834,0.0011019283746556,0.0,0.0005509641873278,0.0005509641873278,0.0,0.0,0.0,0.0005509641873278,0.0
2012-05-01,2012,5,1,0,0,0,8,0,4,0,4,1,3,0,0,1,1,0,0,0,0,0,19,19,23,1831,0.0005461496450027,0.0,0.0,0.0,0.0043691971600218,0.0,0.0021845985800109,0.0,0.0021845985800109,0.0005461496450027,0.0016384489350081,0.0,0.0,0.0005461496450027,0.0005461496450027,0.0,0.0,0.0,0.0,0.0
2012-06-01,2012,6,0,0,3,0,3,0,3,0,3,0,3,1,0,0,0,0,1,0,0,0,17,17,17,1652,0.0,0.0,0.0018159806295399,0.0,0.0018159806295399,0.0,0.0018159806295399,0.0,0.0018159806295399,0.0,0.0018159806295399,0.0006053268765133,0.0,0.0,0.0,0.0,0.0006053268765133,0.0,0.0,0.0
2012-07-01,2012,7,0,0,2,0,4,0,3,0,2,0,5,3,0,1,0,0,0,0,0,0,17,17,20,1615,0.0,0.0,0.0012383900928792,0.0,0.0024767801857585,0.0,0.0018575851393188,0.0,0.0012383900928792,0.0,0.0030959752321981,0.0018575851393188,0.0,0.0006191950464396,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,4,0,1,0,3,0,0,0,3,0,3,3,0,0,0,0,1,0,0,0,16,16,18,1548,0.0025839793281653,0.0,0.0006459948320413,0.0,0.001937984496124,0.0,0.0,0.0,0.001937984496124,0.0,0.001937984496124,0.001937984496124,0.0,0.0,0.0,0.0,0.0006459948320413,0.0,0.0,0.0
2012-09-01,2012,9,1,0,0,0,4,0,3,0,3,0,6,2,0,1,0,0,0,0,0,0,14,14,20,1544,0.0006476683937823,0.0,0.0,0.0,0.0025906735751295,0.0,0.0019430051813471,0.0,0.0019430051813471,0.0,0.0038860103626943,0.0012953367875647,0.0,0.0006476683937823,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,1,0,2,0,3,0,1,0,5,0,7,2,0,0,1,0,0,0,0,0,18,18,22,1614,0.0006195786864931,0.0,0.0012391573729863,0.0,0.0018587360594795,0.0,0.0006195786864931,0.0,0.0030978934324659,0.0,0.0043370508054522,0.0012391573729863,0.0,0.0,0.0006195786864931,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,3,0,6,0,12,0,5,0,4,0,7,1,0,0,0,1,0,0,0,0,32,32,39,1711,0.0017533606078316,0.0,0.0035067212156633,0.0,0.0070134424313267,0.0,0.0029222676797194,0.0,0.0023378141437755,0.0,0.0040911747516072,0.0005844535359438,0.0,0.0,0.0,0.0005844535359438,0.0,0.0,0.0,0.0
2012-12-01,2012,12,1,0,3,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,9,9,10,1719,0.0005817335660267,0.0,0.0017452006980802,0.0,0.0005817335660267,0.0,0.0011634671320535,0.0,0.0,0.0,0.0011634671320535,0.0,0.0,0.0,0.0,0.0,0.0005817335660267,0.0,0.0,0.0
2013-01-01,2013,1,1,0,1,0,3,0,0,0,7,1,1,0,1,1,0,0,0,0,0,0,13,13,16,1587,0.0006301197227473,0.0,0.0006301197227473,0.0,0.0018903591682419,0.0,0.0,0.0,0.0044108380592312,0.0006301197227473,0.0006301197227473,0.0,0.0006301197227473,0.0006301197227473,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,2013,2,0,0,2,0,3,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,10,10,11,1518,0.0,0.0,0.0013175230566534,0.0,0.0019762845849802,0.0,0.0006587615283267,0.0,0.0006587615283267,0.0,0.0006587615283267,0.0006587615283267,0.0,0.0,0.0,0.0006587615283267,0.0006587615283267,0.0,0.0,0.0
2013-03-01,2013,3,2,2,1,0,6,0,2,0,9,0,4,0,0,0,1,3,0,0,0,0,29,29,30,1608,0.0012437810945273,0.0012437810945273,0.0006218905472636,0.0,0.003731343283582,0.0,0.0012437810945273,0.0,0.0055970149253731,0.0,0.0024875621890547,0.0,0.0,0.0,0.0006218905472636,0.001865671641791,0.0,0.0,0.0,0.0
