date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,3,0,0,0,1,0,6,0,6,1,2,3,0,1,0,0,1,0,3,0,23,23,27,1271,0.002360346184107,0.0,0.0,0.0,0.000786782061369,0.0,0.004720692368214,0.0,0.004720692368214,0.000786782061369,0.001573564122738,0.002360346184107,0.0,0.000786782061369,0.0,0.0,0.000786782061369,0.0,0.002360346184107,0.0
2012-02-01,2012,2,3,1,0,0,3,0,9,0,7,0,2,6,1,0,0,1,0,0,8,2,36,36,43,1245,0.0024096385542168,0.0008032128514056,0.0,0.0,0.0024096385542168,0.0,0.0072289156626506,0.0,0.0056224899598393,0.0,0.0016064257028112,0.0048192771084337,0.0008032128514056,0.0,0.0,0.0008032128514056,0.0,0.0,0.0064257028112449,0.0016064257028112
2012-03-01,2012,3,2,0,0,0,3,0,8,0,7,0,0,7,0,2,1,3,0,0,3,0,36,36,36,1405,0.0014234875444839,0.0,0.0,0.0,0.0021352313167259,0.0,0.0056939501779359,0.0,0.0049822064056939,0.0,0.0,0.0049822064056939,0.0,0.0014234875444839,0.0007117437722419,0.0021352313167259,0.0,0.0,0.0021352313167259,0.0
2012-04-01,2012,4,7,0,5,1,8,0,13,0,8,0,7,7,0,1,0,4,0,2,3,0,56,56,66,2166,0.0032317636195752,0.0,0.0023084025854108,0.0004616805170821,0.0036934441366574,0.0,0.0060018467220683,0.0,0.0036934441366574,0.0,0.0032317636195752,0.0032317636195752,0.0,0.0004616805170821,0.0,0.0018467220683287,0.0,0.0009233610341643,0.0013850415512465,0.0
2012-05-01,2012,5,16,5,4,1,14,0,12,0,14,2,9,3,0,0,0,2,0,0,10,1,82,82,93,3214,0.0049782202862476,0.0015556938394523,0.0012445550715619,0.0003111387678904,0.0043559427504667,0.0,0.0037336652146857,0.0,0.0043559427504667,0.0006222775357809,0.0028002489110143,0.0009334163036714,0.0,0.0,0.0,0.0006222775357809,0.0,0.0,0.0031113876789047,0.0003111387678904
2012-06-01,2012,6,20,2,4,0,18,0,13,0,12,2,11,7,0,1,0,6,1,0,7,1,95,95,105,2582,0.0077459333849728,0.0007745933384972,0.0015491866769945,0.0,0.0069713400464756,0.0,0.0050348567002323,0.0,0.0046475600309837,0.0007745933384972,0.004260263361735,0.0027110766847405,0.0,0.0003872966692486,0.0,0.0023237800154918,0.0003872966692486,0.0,0.0027110766847405,0.0003872966692486
2012-07-01,2012,7,12,0,3,0,10,0,13,1,16,7,12,7,0,5,0,3,1,0,0,0,81,81,90,2593,0.004627844195912,0.0,0.001156961048978,0.0,0.0038565368299267,0.0,0.0050134978789047,0.0003856536829926,0.0061704589278827,0.0026995757809487,0.004627844195912,0.0026995757809487,0.0,0.0019282684149633,0.0,0.001156961048978,0.0003856536829926,0.0,0.0,0.0
2012-08-01,2012,8,27,1,1,0,10,0,18,0,12,1,7,10,0,2,0,4,0,0,4,0,83,83,97,3069,0.0087976539589442,0.0003258390355164,0.0003258390355164,0.0,0.0032583903551645,0.0,0.0058651026392961,0.0,0.0039100684261974,0.0003258390355164,0.0022808732486151,0.0032583903551645,0.0,0.0006516780710329,0.0,0.0013033561420658,0.0,0.0,0.0013033561420658,0.0
2012-09-01,2012,9,25,0,5,1,4,0,10,0,9,1,7,10,0,0,3,4,0,0,3,0,79,79,82,3044,0.0082128777923784,0.0,0.0016425755584756,0.0003285151116951,0.0013140604467805,0.0,0.0032851511169513,0.0,0.0029566360052562,0.0003285151116951,0.0022996057818659,0.0032851511169513,0.0,0.0,0.0009855453350854,0.0013140604467805,0.0,0.0,0.0009855453350854,0.0
2012-10-01,2012,10,18,0,1,1,7,0,10,1,9,0,9,4,0,2,0,1,0,0,0,0,57,57,63,3055,0.0058919803600654,0.0,0.0003273322422258,0.0003273322422258,0.002291325695581,0.0,0.0032733224222585,0.0003273322422258,0.0029459901800327,0.0,0.0029459901800327,0.0013093289689034,0.0,0.0006546644844517,0.0,0.0003273322422258,0.0,0.0,0.0,0.0
