date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,31,0,3,0,3,0,6,1,11,3,7,3,0,1,0,0,2,0,1,1,66,66,73,3691,0.0083988079111351,0.0,0.0008127878623679,0.0,0.0008127878623679,0.0,0.0016255757247358,0.0002709292874559,0.0029802221620157,0.0008127878623679,0.0018965050121918,0.0008127878623679,0.0,0.0002709292874559,0.0,0.0,0.0005418585749119,0.0,0.0002709292874559,0.0002709292874559
2012-02-01,2012,2,21,2,2,0,13,1,6,0,14,1,12,4,0,0,0,1,1,0,0,0,69,69,78,3743,0.0056104728827144,0.0005343307507347,0.0005343307507347,0.0,0.0034731498797755,0.0002671653753673,0.0016029922522041,0.0,0.0037403152551429,0.0002671653753673,0.0032059845044082,0.0010686615014694,0.0,0.0,0.0,0.0002671653753673,0.0002671653753673,0.0,0.0,0.0
2012-03-01,2012,3,12,1,3,1,13,0,9,0,18,0,9,8,1,0,0,1,0,0,2,0,66,66,78,4026,0.0029806259314456,0.0002483854942871,0.0007451564828614,0.0002483854942871,0.0032290114257327,0.0,0.0022354694485842,0.0,0.0044709388971684,0.0,0.0022354694485842,0.001987083954297,0.0002483854942871,0.0,0.0,0.0002483854942871,0.0,0.0,0.0004967709885742,0.0
2012-04-01,2012,4,50,1,3,0,8,0,7,2,12,0,13,3,0,0,0,0,2,0,1,0,96,96,102,3634,0.0137589433131535,0.000275178866263,0.0008255365987892,0.0,0.0022014309301045,0.0,0.0019262520638414,0.0005503577325261,0.0033021463951568,0.0,0.0035773252614199,0.0008255365987892,0.0,0.0,0.0,0.0,0.0005503577325261,0.0,0.000275178866263,0.0
2012-05-01,2012,5,28,1,3,0,8,0,5,5,11,1,18,14,0,1,0,1,1,0,3,0,88,88,100,4227,0.0066240832741897,0.0002365744026496,0.0007097232079489,0.0,0.001892595221197,0.0,0.0011828720132481,0.0011828720132481,0.0026023184291459,0.0002365744026496,0.0042583392476933,0.0033120416370948,0.0,0.0002365744026496,0.0,0.0002365744026496,0.0002365744026496,0.0,0.0007097232079489,0.0
2012-06-01,2012,6,11,1,5,0,15,0,11,2,16,1,9,16,0,0,0,2,2,0,2,0,84,84,93,3959,0.0027784794139934,0.0002525890376357,0.0012629451881788,0.0,0.0037888355645364,0.0,0.0027784794139934,0.0005051780752715,0.0040414246021722,0.0002525890376357,0.0022733013387218,0.0040414246021722,0.0,0.0,0.0,0.0005051780752715,0.0005051780752715,0.0,0.0005051780752715,0.0
2012-07-01,2012,7,18,0,6,0,7,0,8,0,8,2,12,3,0,3,1,0,1,0,1,0,62,62,70,3682,0.0048886474741988,0.0,0.0016295491580662,0.0,0.0019011406844106,0.0,0.002172732210755,0.0,0.002172732210755,0.0005431830526887,0.0032590983161325,0.0008147745790331,0.0,0.0008147745790331,0.0002715915263443,0.0,0.0002715915263443,0.0,0.0002715915263443,0.0
2012-08-01,2012,8,67,1,9,0,16,0,7,19,23,0,10,5,0,3,1,2,2,0,2,1,152,152,168,3719,0.0180155955902124,0.000268889486421,0.0024200053777897,0.0,0.0043022317827372,0.0,0.0018822264049475,0.0051089002420005,0.0061844581876848,0.0,0.0026888948642108,0.0013444474321054,0.0,0.0008066684592632,0.000268889486421,0.0005377789728421,0.0005377789728421,0.0,0.0005377789728421,0.000268889486421
2012-09-01,2012,9,9,0,6,0,13,0,9,0,14,1,12,7,0,1,1,3,0,0,2,0,70,70,78,3887,0.0023154103421661,0.0,0.0015436068947774,0.0,0.0033444816053511,0.0,0.0023154103421661,0.0,0.0036017494211474,0.0002572678157962,0.0030872137895549,0.0018008747105737,0.0,0.0002572678157962,0.0002572678157962,0.0007718034473887,0.0,0.0,0.0005145356315924,0.0
2012-10-01,2012,10,45,2,5,0,12,0,5,14,18,1,16,4,1,2,3,1,1,0,2,0,119,119,132,4396,0.0102365787079162,0.0004549590536851,0.0011373976342129,0.0,0.002729754322111,0.0,0.0011373976342129,0.0031847133757961,0.0040946314831665,0.0002274795268425,0.0036396724294813,0.0009099181073703,0.0002274795268425,0.0004549590536851,0.0006824385805277,0.0002274795268425,0.0002274795268425,0.0,0.0004549590536851,0.0
2012-11-01,2012,11,22,2,8,0,12,0,9,5,11,0,9,6,2,2,1,1,1,0,1,0,80,80,92,4130,0.0053268765133171,0.0004842615012106,0.0019370460048426,0.0,0.0029055690072639,0.0,0.0021791767554479,0.0012106537530266,0.0026634382566585,0.0,0.0021791767554479,0.0014527845036319,0.0004842615012106,0.0004842615012106,0.0002421307506053,0.0002421307506053,0.0002421307506053,0.0,0.0002421307506053,0.0
