date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,3,0,1,0,4,2,7,0,9,4,5,5,1,3,0,0,0,1,0,0,42,42,45,1674,0.0017921146953405,0.0,0.0005973715651135,0.0,0.002389486260454,0.001194743130227,0.0041816009557945,0.0,0.0053763440860215,0.002389486260454,0.0029868578255675,0.0029868578255675,0.0005973715651135,0.0017921146953405,0.0,0.0,0.0,0.0005973715651135,0.0,0.0
2012-02-01,2012,2,2,0,8,0,12,0,2,0,10,3,13,5,1,3,0,0,1,0,0,0,52,52,60,2110,0.0009478672985781,0.0,0.0037914691943127,0.0,0.0056872037914691,0.0,0.0009478672985781,0.0,0.0047393364928909,0.0014218009478672,0.0061611374407582,0.0023696682464454,0.000473933649289,0.0014218009478672,0.0,0.0,0.000473933649289,0.0,0.0,0.0
2012-03-01,2012,3,4,0,3,1,13,1,7,1,17,3,8,7,1,3,0,1,1,1,0,3,69,69,75,2494,0.0016038492381716,0.0,0.0012028869286287,0.0004009623095429,0.0052125100240577,0.0004009623095429,0.0028067361668003,0.0004009623095429,0.0068163592622293,0.0012028869286287,0.0032076984763432,0.0028067361668003,0.0004009623095429,0.0012028869286287,0.0,0.0004009623095429,0.0004009623095429,0.0004009623095429,0.0,0.0012028869286287
2012-04-01,2012,4,1,0,4,2,7,0,5,0,15,1,7,4,0,1,1,3,0,0,0,1,45,45,52,2017,0.0004957858205255,0.0,0.0019831432821021,0.000991571641051,0.0034705007436787,0.0,0.0024789291026276,0.0,0.0074367873078829,0.0004957858205255,0.0034705007436787,0.0019831432821021,0.0,0.0004957858205255,0.0004957858205255,0.0014873574615765,0.0,0.0,0.0,0.0004957858205255
2012-05-01,2012,5,1,0,1,1,6,2,5,0,15,1,8,3,4,10,1,0,0,0,0,3,54,54,61,2035,0.0004914004914004,0.0,0.0004914004914004,0.0004914004914004,0.0029484029484029,0.0009828009828009,0.0024570024570024,0.0,0.0073710073710073,0.0004914004914004,0.0039312039312039,0.0014742014742014,0.0019656019656019,0.0049140049140049,0.0004914004914004,0.0,0.0,0.0,0.0,0.0014742014742014
2012-06-01,2012,6,1,0,4,0,8,0,10,0,13,0,7,5,0,3,0,1,1,0,1,0,45,45,54,1844,0.0005422993492407,0.0,0.0021691973969631,0.0,0.0043383947939262,0.0,0.0054229934924078,0.0,0.0070498915401301,0.0,0.0037960954446854,0.0027114967462039,0.0,0.0016268980477223,0.0,0.0005422993492407,0.0005422993492407,0.0,0.0005422993492407,0.0
2012-07-01,2012,7,0,0,3,0,8,0,8,0,16,0,7,4,2,1,2,0,0,0,1,0,46,46,52,2111,0.0,0.0,0.0014211274277593,0.0,0.0037896731406916,0.0,0.0037896731406916,0.0,0.0075793462813832,0.0,0.0033159639981051,0.0018948365703458,0.0009474182851729,0.0004737091425864,0.0009474182851729,0.0,0.0,0.0,0.0004737091425864,0.0
2012-08-01,2012,8,2,0,0,0,8,1,5,0,16,2,8,9,0,4,0,0,1,0,0,0,52,52,56,2667,0.0007499062617172,0.0,0.0,0.0,0.0029996250468691,0.0003749531308586,0.0018747656542932,0.0,0.0059992500937382,0.0007499062617172,0.0029996250468691,0.0033745781777277,0.0,0.0014998125234345,0.0,0.0,0.0003749531308586,0.0,0.0,0.0
2012-09-01,2012,9,1,0,4,1,11,0,11,0,9,2,9,6,0,0,2,0,0,0,1,1,52,52,58,1986,0.0005035246727089,0.0,0.0020140986908358,0.0005035246727089,0.0055387713997985,0.0,0.0055387713997985,0.0,0.0045317220543806,0.0010070493454179,0.0045317220543806,0.0030211480362537,0.0,0.0,0.0010070493454179,0.0,0.0,0.0,0.0005035246727089,0.0005035246727089
2012-10-01,2012,10,2,1,2,0,7,0,4,0,17,2,13,9,0,1,0,2,1,0,1,2,59,59,64,2543,0.0007864726700747,0.0003932363350373,0.0007864726700747,0.0,0.0027526543452615,0.0,0.0015729453401494,0.0,0.006685017695635,0.0007864726700747,0.0051120723554856,0.0035391270153362,0.0,0.0003932363350373,0.0,0.0007864726700747,0.0003932363350373,0.0,0.0003932363350373,0.0007864726700747
