date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,56,0,8,0,18,0,28,0,20,6,15,9,0,7,0,2,1,0,1,0,155,155,171,5731,0.0097714186005932,0.0,0.0013959169429418,0.0,0.0031408131216192,0.0,0.0048857093002966,0.0,0.0034897923573547,0.0010469377072064,0.002617344268016,0.0015704065608096,0.0,0.0012214273250741,0.0,0.0003489792357354,0.0001744896178677,0.0,0.0001744896178677,0.0
2012-02-01,2012,2,68,1,9,1,9,0,28,3,18,4,6,16,1,2,1,0,0,0,1,0,156,156,168,4783,0.0142170186075684,0.0002090738030524,0.0018816642274722,0.0002090738030524,0.0018816642274722,0.0,0.0058540664854693,0.0006272214091574,0.0037633284549445,0.0008362952122099,0.0012544428183148,0.0033451808488396,0.0002090738030524,0.0004181476061049,0.0002090738030524,0.0,0.0,0.0,0.0002090738030524,0.0
2012-03-01,2012,3,68,0,6,0,14,0,24,3,24,6,4,16,1,3,2,4,0,1,17,1,180,180,194,4995,0.0136136136136136,0.0,0.0012012012012012,0.0,0.0028028028028028,0.0,0.0048048048048048,0.0006006006006006,0.0048048048048048,0.0012012012012012,0.0008008008008008,0.0032032032032032,0.0002002002002002,0.0006006006006006,0.0004004004004004,0.0008008008008008,0.0,0.0002002002002002,0.0034034034034034,0.0002002002002002
2012-04-01,2012,4,34,0,3,0,7,0,18,1,13,2,7,7,0,2,1,2,1,0,0,0,91,91,98,4745,0.0071654373024236,0.0,0.0006322444678609,0.0,0.0014752370916754,0.0,0.0037934668071654,0.0002107481559536,0.0027397260273972,0.0004214963119072,0.0014752370916754,0.0014752370916754,0.0,0.0004214963119072,0.0002107481559536,0.0004214963119072,0.0002107481559536,0.0,0.0,0.0
2012-05-01,2012,5,11,1,6,1,14,0,16,1,11,6,8,14,1,3,2,0,1,0,2,2,85,85,100,4648,0.0023666092943201,0.0002151462994836,0.0012908777969018,0.0002151462994836,0.003012048192771,0.0,0.0034423407917383,0.0002151462994836,0.0023666092943201,0.0012908777969018,0.0017211703958691,0.003012048192771,0.0002151462994836,0.0006454388984509,0.0004302925989672,0.0,0.0002151462994836,0.0,0.0004302925989672,0.0004302925989672
2012-06-01,2012,6,28,0,3,0,23,0,21,2,4,2,14,8,0,2,1,2,1,0,0,0,97,97,111,5104,0.0054858934169279,0.0,0.0005877742946708,0.0,0.0045062695924764,0.0,0.0041144200626959,0.0003918495297805,0.0007836990595611,0.0003918495297805,0.0027429467084639,0.0015673981191222,0.0,0.0003918495297805,0.0001959247648902,0.0003918495297805,0.0001959247648902,0.0,0.0,0.0
2012-07-01,2012,7,23,0,4,0,13,1,14,1,9,3,9,9,2,0,0,3,0,1,0,4,86,86,96,5246,0.0043842927945101,0.0,0.000762485703393,0.0,0.0024780785360274,0.0001906214258482,0.0026686999618757,0.0001906214258482,0.0017155928326343,0.0005718642775447,0.0017155928326343,0.0017155928326343,0.0003812428516965,0.0,0.0,0.0005718642775447,0.0,0.0001906214258482,0.0,0.000762485703393
2012-08-01,2012,8,49,0,5,0,14,0,17,2,11,3,12,8,3,1,1,1,0,1,2,0,115,115,130,5692,0.0086085734364019,0.0,0.0008784258608573,0.0,0.0024595924104005,0.0,0.0029866479269149,0.0003513703443429,0.0019325368938861,0.0005270555165144,0.0021082220660576,0.0014054813773717,0.0005270555165144,0.0001756851721714,0.0001756851721714,0.0001756851721714,0.0,0.0001756851721714,0.0003513703443429,0.0
2012-09-01,2012,9,73,3,1,5,17,1,20,1,11,1,6,4,1,2,0,5,0,0,2,0,142,142,153,4929,0.0148103063501724,0.0006086427267194,0.0002028809089064,0.0010144045445323,0.00344897545141,0.0002028809089064,0.0040576181781294,0.0002028809089064,0.0022316899979711,0.0002028809089064,0.0012172854534388,0.0008115236356258,0.0002028809089064,0.0004057618178129,0.0,0.0010144045445323,0.0,0.0,0.0004057618178129,0.0
2012-10-01,2012,10,17,1,7,0,22,1,26,0,8,1,12,9,0,2,0,2,1,0,0,0,98,98,109,5248,0.0032393292682926,0.0001905487804878,0.0013338414634146,0.0,0.0041920731707317,0.0001905487804878,0.0049542682926829,0.0,0.0015243902439024,0.0001905487804878,0.0022865853658536,0.0017149390243902,0.0,0.0003810975609756,0.0,0.0003810975609756,0.0001905487804878,0.0,0.0,0.0
2012-11-01,2012,11,19,0,2,0,8,0,12,1,9,0,5,6,0,2,0,0,0,0,2,0,59,59,66,5043,0.0037675986515962,0.0,0.0003965893317469,0.0,0.0015863573269879,0.0,0.0023795359904818,0.0001982946658734,0.0017846519928613,0.0,0.0009914733293674,0.0011897679952409,0.0,0.0003965893317469,0.0,0.0,0.0,0.0,0.0003965893317469,0.0
2012-12-01,2012,12,42,1,3,0,10,0,9,1,15,4,8,2,0,2,0,2,0,0,2,0,88,88,101,4566,0.0091984231274638,0.0002190100744634,0.0006570302233902,0.0,0.0021901007446342,0.0,0.0019710906701708,0.0002190100744634,0.0032851511169513,0.0008760402978537,0.0017520805957074,0.0004380201489268,0.0,0.0004380201489268,0.0,0.0004380201489268,0.0,0.0,0.0004380201489268,0.0
2013-01-01,2013,1,34,0,6,0,16,1,8,0,20,1,10,6,4,1,1,1,0,0,0,1,100,100,110,4339,0.0078359068909887,0.0,0.0013828070984097,0.0,0.0036874855957593,0.0002304678497349,0.0018437427978796,0.0,0.0046093569946992,0.0002304678497349,0.0023046784973496,0.0013828070984097,0.0009218713989398,0.0002304678497349,0.0002304678497349,0.0002304678497349,0.0,0.0,0.0,0.0002304678497349
2013-02-01,2013,2,27,0,3,0,5,0,10,0,11,1,2,2,0,0,1,1,1,0,3,0,60,60,67,3071,0.008791924454575,0.0,0.0009768804949527,0.0,0.0016281341582546,0.0,0.0032562683165092,0.0,0.0035818951481602,0.0003256268316509,0.0006512536633018,0.0006512536633018,0.0,0.0,0.0003256268316509,0.0003256268316509,0.0003256268316509,0.0,0.0009768804949527,0.0
2013-03-01,2013,3,34,1,3,0,8,0,10,2,11,1,7,6,1,5,0,2,3,0,2,0,87,87,96,3289,0.0103374885983581,0.0003040437823046,0.0009121313469139,0.0,0.0024323502584372,0.0,0.0030404378230465,0.0006080875646093,0.0033444816053511,0.0003040437823046,0.0021283064761325,0.0018242626938279,0.0003040437823046,0.0015202189115232,0.0,0.0006080875646093,0.0009121313469139,0.0,0.0006080875646093,0.0
2013-04-01,2013,4,31,0,6,2,8,1,21,0,19,4,7,6,3,0,0,2,0,3,3,1,108,108,117,4431,0.0069961633942676,0.0,0.0013540961408259,0.0004513653802753,0.0018054615211013,0.0002256826901376,0.0047393364928909,0.0,0.0042879711126156,0.0009027307605506,0.0015797788309636,0.0013540961408259,0.0006770480704129,0.0,0.0,0.0004513653802753,0.0,0.0006770480704129,0.0006770480704129,0.0002256826901376
2013-05-01,2013,5,26,1,2,0,25,0,16,0,21,4,7,5,0,5,7,3,0,0,2,1,106,106,125,4899,0.0053072055521535,0.0002041232904674,0.0004082465809348,0.0,0.005103082261686,0.0,0.003265972647479,0.0,0.0042865890998162,0.0008164931618697,0.001428863033272,0.0010206164523372,0.0,0.0010206164523372,0.001428863033272,0.0006123698714023,0.0,0.0,0.0004082465809348,0.0002041232904674
2013-06-01,2013,6,12,1,3,0,22,0,27,0,18,2,6,4,1,2,4,3,0,0,0,0,95,95,105,4665,0.002572347266881,0.00021436227224,0.0006430868167202,0.0,0.0047159699892818,0.0,0.0057877813504823,0.0,0.0038585209003215,0.0004287245444801,0.0012861736334405,0.0008574490889603,0.00021436227224,0.0004287245444801,0.0008574490889603,0.0006430868167202,0.0,0.0,0.0,0.0
2013-07-01,2013,7,33,1,2,1,8,0,16,0,17,3,3,5,1,3,2,0,2,1,1,1,93,93,100,4783,0.0068994355007317,0.0002090738030524,0.0004181476061049,0.0002090738030524,0.0016725904244198,0.0,0.0033451808488396,0.0,0.0035542546518921,0.0006272214091574,0.0006272214091574,0.0010453690152623,0.0002090738030524,0.0006272214091574,0.0004181476061049,0.0,0.0004181476061049,0.0002090738030524,0.0002090738030524,0.0002090738030524
