date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,1,0,1,0,0,0,10,1,17,0,1,3,1,0,0,0,4,0,21,0,59,59,60,2138,0.000467726847521,0.0,0.000467726847521,0.0,0.0,0.0,0.0046772684752104,0.000467726847521,0.0079513564078578,0.0,0.000467726847521,0.0014031805425631,0.000467726847521,0.0,0.0,0.0,0.0018709073900841,0.0,0.009822263797942,0.0
2012-02-01,2012,2,3,2,1,0,1,0,14,0,11,1,4,2,0,0,0,0,1,1,1,1,38,38,43,2059,0.0014570179698882,0.0009713453132588,0.0004856726566294,0.0,0.0004856726566294,0.0,0.006799417192812,0.0,0.0053423992229237,0.0004856726566294,0.0019426906265177,0.0009713453132588,0.0,0.0,0.0,0.0,0.0004856726566294,0.0004856726566294,0.0004856726566294,0.0004856726566294
2012-03-01,2012,3,7,1,3,1,5,1,16,3,10,2,8,2,0,2,0,0,2,0,0,0,55,55,63,2416,0.0028973509933774,0.0004139072847682,0.0012417218543046,0.0004139072847682,0.002069536423841,0.0004139072847682,0.0066225165562913,0.0012417218543046,0.0041390728476821,0.0008278145695364,0.0033112582781456,0.0008278145695364,0.0,0.0008278145695364,0.0,0.0,0.0008278145695364,0.0,0.0,0.0
2012-04-01,2012,4,6,0,1,0,7,0,15,0,14,1,6,2,2,2,1,1,1,0,1,1,56,56,61,2306,0.002601908065915,0.0,0.0004336513443191,0.0,0.0030355594102341,0.0,0.0065047701647875,0.0,0.0060711188204683,0.0004336513443191,0.002601908065915,0.0008673026886383,0.0008673026886383,0.0008673026886383,0.0004336513443191,0.0004336513443191,0.0004336513443191,0.0,0.0004336513443191,0.0004336513443191
2012-05-01,2012,5,4,0,5,1,7,0,17,0,9,0,2,2,0,0,0,0,1,0,1,0,44,44,49,2311,0.001730852444829,0.0,0.0021635655560363,0.0004327131112072,0.0030289917784508,0.0,0.0073561228905235,0.0,0.0038944180008654,0.0,0.0008654262224145,0.0008654262224145,0.0,0.0,0.0,0.0,0.0004327131112072,0.0,0.0004327131112072,0.0
2012-06-01,2012,6,6,1,0,0,5,0,6,1,12,1,2,0,0,1,1,2,0,0,0,0,36,36,38,2396,0.0025041736227045,0.0004173622704507,0.0,0.0,0.0020868113522537,0.0,0.0025041736227045,0.0004173622704507,0.005008347245409,0.0004173622704507,0.0008347245409015,0.0,0.0,0.0004173622704507,0.0004173622704507,0.0008347245409015,0.0,0.0,0.0,0.0
2012-07-01,2012,7,11,0,1,1,6,0,28,3,17,4,11,1,0,1,2,0,0,0,0,0,76,76,86,2701,0.0040725657164013,0.0,0.0003702332469455,0.0003702332469455,0.0022213994816734,0.0,0.0103665309144761,0.0011106997408367,0.0062939651980747,0.0014809329877823,0.0040725657164013,0.0003702332469455,0.0,0.0003702332469455,0.0007404664938911,0.0,0.0,0.0,0.0,0.0
2012-08-01,2012,8,17,0,0,1,8,0,25,0,24,3,7,1,0,2,1,0,2,2,0,0,87,87,93,2765,0.0061482820976491,0.0,0.0,0.0003616636528028,0.0028933092224231,0.0,0.0090415913200723,0.0,0.0086799276672694,0.0010849909584086,0.0025316455696202,0.0003616636528028,0.0,0.0007233273056057,0.0003616636528028,0.0,0.0007233273056057,0.0007233273056057,0.0,0.0
2012-09-01,2012,9,21,1,1,0,5,0,14,9,22,1,5,2,0,1,2,3,1,0,1,0,83,83,89,2381,0.0088198236035279,0.0004199916001679,0.0004199916001679,0.0,0.0020999580008399,0.0,0.0058798824023519,0.0037799244015119,0.0092398152036959,0.0004199916001679,0.0020999580008399,0.0008399832003359,0.0,0.0004199916001679,0.0008399832003359,0.0012599748005039,0.0004199916001679,0.0,0.0004199916001679,0.0
2012-10-01,2012,10,59,1,4,0,9,0,16,13,71,2,11,7,1,0,2,1,1,0,2,1,177,177,201,2630,0.0224334600760456,0.0003802281368821,0.0015209125475285,0.0,0.0034220532319391,0.0,0.006083650190114,0.0049429657794676,0.0269961977186311,0.0007604562737642,0.0041825095057034,0.0026615969581749,0.0003802281368821,0.0,0.0007604562737642,0.0003802281368821,0.0003802281368821,0.0,0.0007604562737642,0.0003802281368821
2012-11-01,2012,11,16,0,1,0,7,1,10,2,27,0,9,0,1,2,0,0,1,1,1,0,73,73,79,2415,0.0066252587991718,0.0,0.0004140786749482,0.0,0.0028985507246376,0.0004140786749482,0.0041407867494824,0.0008281573498964,0.0111801242236024,0.0,0.0037267080745341,0.0,0.0004140786749482,0.0008281573498964,0.0,0.0,0.0004140786749482,0.0004140786749482,0.0004140786749482,0.0
2012-12-01,2012,12,7,0,0,0,9,0,11,1,16,3,2,0,0,1,1,0,3,0,1,0,52,52,55,2276,0.0030755711775043,0.0,0.0,0.0,0.0039543057996485,0.0,0.0048330404217926,0.000439367311072,0.0070298769771528,0.0013181019332161,0.0008787346221441,0.0,0.0,0.000439367311072,0.000439367311072,0.0,0.0013181019332161,0.0,0.000439367311072,0.0
2013-01-01,2013,1,7,0,1,1,5,1,18,0,18,8,7,0,0,1,0,1,1,1,3,1,65,65,74,2332,0.0030017152658662,0.0,0.0004288164665523,0.0004288164665523,0.0021440823327615,0.0004288164665523,0.0077186963979416,0.0,0.0077186963979416,0.0034305317324185,0.0030017152658662,0.0,0.0,0.0004288164665523,0.0,0.0004288164665523,0.0004288164665523,0.0004288164665523,0.0012864493996569,0.0004288164665523
2013-02-01,2013,2,5,1,1,1,3,1,8,0,15,0,1,3,2,1,0,4,3,3,2,0,54,54,54,2425,0.002061855670103,0.0004123711340206,0.0004123711340206,0.0004123711340206,0.0012371134020618,0.0004123711340206,0.0032989690721649,0.0,0.0061855670103092,0.0,0.0004123711340206,0.0012371134020618,0.0008247422680412,0.0004123711340206,0.0,0.0016494845360824,0.0012371134020618,0.0012371134020618,0.0008247422680412,0.0
2013-03-01,2013,3,9,0,4,0,3,1,9,1,10,1,7,5,1,5,0,0,0,1,0,0,46,46,57,2646,0.0034013605442176,0.0,0.00151171579743,0.0,0.0011337868480725,0.0003779289493575,0.0034013605442176,0.0003779289493575,0.0037792894935752,0.0003779289493575,0.0026455026455026,0.0018896447467876,0.0003779289493575,0.0018896447467876,0.0,0.0,0.0,0.0003779289493575,0.0,0.0
2013-04-01,2013,4,5,1,4,0,6,0,14,3,20,0,6,3,2,2,1,0,0,2,0,1,60,60,70,2474,0.002021018593371,0.0004042037186742,0.0016168148746968,0.0,0.0024252223120452,0.0,0.0056588520614389,0.0012126111560226,0.0080840743734842,0.0,0.0024252223120452,0.0012126111560226,0.0008084074373484,0.0008084074373484,0.0004042037186742,0.0,0.0,0.0008084074373484,0.0,0.0004042037186742
2013-05-01,2013,5,11,0,1,0,4,1,13,3,17,1,8,0,1,5,1,0,1,0,1,0,62,62,68,2849,0.0038610038610038,0.0,0.0003510003510003,0.0,0.0014040014040014,0.0003510003510003,0.0045630045630045,0.001053001053001,0.0059670059670059,0.0003510003510003,0.0028080028080028,0.0,0.0003510003510003,0.0017550017550017,0.0003510003510003,0.0,0.0003510003510003,0.0,0.0003510003510003,0.0
2013-06-01,2013,6,10,0,4,0,6,2,12,1,15,1,7,3,1,3,0,0,2,0,1,0,63,63,68,2666,0.0037509377344336,0.0,0.0015003750937734,0.0,0.0022505626406601,0.0007501875468867,0.0045011252813203,0.0003750937734433,0.0056264066016504,0.0003750937734433,0.0026256564141035,0.00112528132033,0.0003750937734433,0.00112528132033,0.0,0.0,0.0007501875468867,0.0,0.0003750937734433,0.0
2013-07-01,2013,7,7,1,2,0,8,2,11,0,12,3,9,3,2,2,0,0,2,0,0,2,60,60,66,2876,0.0024339360222531,0.0003477051460361,0.0006954102920723,0.0,0.0027816411682892,0.0006954102920723,0.0038247566063977,0.0,0.0041724617524339,0.0010431154381084,0.0031293463143254,0.0010431154381084,0.0006954102920723,0.0006954102920723,0.0,0.0,0.0006954102920723,0.0,0.0,0.0006954102920723
2013-08-01,2013,8,6,0,1,0,4,2,16,0,14,2,3,0,1,3,2,0,0,1,0,0,48,48,55,2664,0.0022522522522522,0.0,0.0003753753753753,0.0,0.0015015015015015,0.0007507507507507,0.006006006006006,0.0,0.0052552552552552,0.0007507507507507,0.0011261261261261,0.0,0.0003753753753753,0.0011261261261261,0.0007507507507507,0.0,0.0,0.0003753753753753,0.0,0.0
2013-09-01,2013,9,6,0,1,0,4,1,19,5,10,2,1,2,1,0,0,0,1,0,1,0,49,49,54,2510,0.0023904382470119,0.0,0.0003984063745019,0.0,0.0015936254980079,0.0003984063745019,0.0075697211155378,0.0019920318725099,0.0039840637450199,0.0007968127490039,0.0003984063745019,0.0007968127490039,0.0003984063745019,0.0,0.0,0.0,0.0003984063745019,0.0,0.0003984063745019,0.0
2013-10-01,2013,10,2,0,2,0,2,0,5,1,8,0,3,4,0,0,0,0,0,0,0,0,26,26,27,2578,0.0007757951900698,0.0,0.0007757951900698,0.0,0.0007757951900698,0.0,0.0019394879751745,0.0003878975950349,0.0031031807602792,0.0,0.0011636927851047,0.0015515903801396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
