country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Zambia,China,2012-01-01,2012,1,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9968944099378882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031055900621118,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-02-01,2012,2,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-03-01,2012,3,344,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.9913544668587896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057636887608069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028818443804034,0.0,0.0
Zambia,China,2012-04-01,2012,4,326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9969418960244648,0.0030581039755351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-05-01,2012,5,348,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.9914529914529916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028490028490028,0.0,0.0,0.0,0.0028490028490028,0.0,0.0,0.0028490028490028,0.0,0.0,0.0,0.0
Zambia,China,2012-06-01,2012,6,335,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9970238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-07-01,2012,7,347,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0.9857954545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002840909090909,0.0113636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-08-01,2012,8,419,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0.9905437352245864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023640661938534,0.0047281323877068,0.0,0.0,0.0,0.0,0.0,0.0023640661938534,0.0,0.0,0.0,0.0
Zambia,China,2012-09-01,2012,9,449,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.9911699779249448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044150110375275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044150110375275,0.0,0.0
Zambia,China,2012-10-01,2012,10,443,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995505617977528,0.0,0.0022471910112359,0.0,0.0,0.0,0.0,0.0022471910112359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-11-01,2012,11,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2012-12-01,2012,12,479,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9937759336099584,0.0020746887966804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041493775933609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2013-01-01,2013,1,800,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.99626400996264,0.0,0.0,0.0012453300124533,0.0,0.0,0.0,0.0,0.0,0.0,0.0012453300124533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012453300124533,0.0,0.0
Zambia,China,2013-02-01,2013,2,1290,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0.9953703703703703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765432,0.0007716049382716,0.0015432098765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0007716049382716,0.0,0.0
Zambia,China,2013-03-01,2013,3,1256,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.9960348929421096,0.0,0.0,0.0,0.0,0.0,0.0007930214115781,0.0,0.0,0.0,0.0023790642347343,0.0,0.0007930214115781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2013-04-01,2013,4,1088,0,0,0,0,0,4,1,0,0,2,0,1,1,0,0,0,0,0,1,1,0,0.9890909090909092,0.0,0.0,0.0,0.0,0.0,0.0036363636363636,0.0009090909090909,0.0,0.0,0.0018181818181818,0.0,0.0009090909090909,0.0009090909090909,0.0,0.0,0.0,0.0,0.0,0.0009090909090909,0.0009090909090909,0.0
Zambia,China,2013-05-01,2013,5,1202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.999168744804655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008312551953449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2013-06-01,2013,6,1315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9977238239757208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007587253414264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,China,2013-07-01,2013,7,987,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0.9949596774193548,0.0,0.0,0.0,0.001008064516129,0.0,0.0,0.0,0.001008064516129,0.0,0.0,0.0,0.001008064516129,0.0,0.0,0.0,0.0,0.002016129032258,0.0,0.0,0.0,0.0
Zambia,China,2013-08-01,2013,8,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9986702127659576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013297872340425,0.0,0.0,0.0,0.0
