country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Ghana,Combined,2012-01-01,2012,1,793,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0.9949811794228356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001254705144291,0.0,0.0,0.0,0.0,0.0025094102885821,0.0,0.0,0.0,0.0
Ghana,Combined,2012-02-01,2012,2,719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9958448753462604,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013850415512465,0.0,0.0,0.0,0.0
Ghana,Combined,2012-03-01,2012,3,921,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.9956756756756756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.0,0.001081081081081,0.0,0.0,0.0,0.001081081081081,0.0,0.0
Ghana,Combined,2012-04-01,2012,4,776,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9948717948717948,0.0,0.0,0.0,0.0,0.0,0.0012820512820512,0.0,0.0,0.0,0.0025641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Combined,2012-05-01,2012,5,683,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9941775836972344,0.0,0.0,0.0,0.0029112081513828,0.0,0.0,0.0,0.0014556040756914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014556040756914
Ghana,Combined,2012-06-01,2012,6,505,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9980237154150198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019762845849802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Combined,2012-07-01,2012,7,774,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.993581514762516,0.0,0.0,0.0,0.0,0.0,0.0025673940949935,0.0012836970474967,0.0,0.0,0.0,0.0,0.0012836970474967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Combined,2012-08-01,2012,8,845,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9988179669030732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011820330969267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Combined,2012-09-01,2012,9,582,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9948717948717948,0.0,0.0,0.0,0.0017094017094017,0.0,0.0,0.0,0.0,0.0,0.0034188034188034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,Combined,2012-10-01,2012,10,1025,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0.9893822393822392,0.0,0.0,0.0,0.0028957528957528,0.0,0.0009652509652509,0.0,0.0,0.0,0.0019305019305019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028957528957528
