country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Hungary,China,2012-01-01,2012,1,7074,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.9983065198983913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001411233418007,0.0001411233418007,0.0001411233418007,0.0,0.0001411233418007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,China,2012-02-01,2012,2,6599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.99878916300893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001513546238837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001513546238837,0.0
Hungary,China,2012-03-01,2012,3,6915,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.9987001733102252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005777007510109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,China,2012-04-01,2012,4,6299,0,0,0,0,0,6,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0.9976243268926196,0.0,0.0,0.0,0.0,0.0,0.0009502692429521,0.0,0.0003167564143173,0.0,0.0001583782071586,0.0,0.0001583782071586,0.0,0.0,0.0,0.0,0.0001583782071586,0.0,0.0,0.0,0.0
Hungary,China,2012-05-01,2012,5,6263,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0.9990429095549528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001595150741745,0.0001595150741745,0.0004785452225235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001595150741745,0.0,0.0
Hungary,China,2012-06-01,2012,6,5953,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.9988255033557047,0.0001677852348993,0.0001677852348993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003355704697986,0.0,0.0001677852348993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,China,2012-07-01,2012,7,5865,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.9991482112436116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000511073253833,0.0,0.0001703577512776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,China,2012-08-01,2012,8,5436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,China,2012-09-01,2012,9,5908,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0.9989854582346972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005072708826513,0.0,0.0,0.0,0.0,0.0,0.0001690902942171,0.0,0.0,0.0001690902942171,0.0,0.0,0.0001690902942171,0.0
Hungary,China,2012-10-01,2012,10,7013,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0.999429955821576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001425110446059,0.0,0.0001425110446059,0.0,0.0,0.0002850220892119,0.0,0.0,0.0,0.0
