country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Albania,Combined,2012-01-01,2012,1,1132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-02-01,2012,2,1131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.998234774933804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008826125330979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-03-01,2012,3,1325,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9984928409947248,0.0,0.0,0.0,0.0,0.0,0.0007535795026375,0.0,0.0007535795026375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-04-01,2012,4,1318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9992418498862776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007581501137225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-05-01,2012,5,1267,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.9976377952755906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023622047244094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-06-01,2012,6,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991341991341992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-07-01,2012,7,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-08-01,2012,8,1411,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9985845718329794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007077140835102,0.0,0.0007077140835102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-09-01,2012,9,1756,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9988623435722412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005688282138794,0.0,0.0005688282138794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-10-01,2012,10,1801,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9983370288248336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005543237250554,0.0,0.0,0.0,0.0,0.0,0.0,0.0005543237250554,0.0,0.0
Albania,Combined,2012-11-01,2012,11,1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,Combined,2012-12-01,2012,12,1878,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.9984051036682616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005316321105794,0.0,0.0,0.0,0.0005316321105794,0.0,0.0,0.0005316321105794,0.0,0.0,0.0,0.0
