country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Malaysia,China,2012-01-01,2012,1,2242,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979467016164264,0.0,0.0,0.0,0.0,0.0,0.0,0.000436871996505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malaysia,China,2012-02-01,2012,2,2395,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,4,0,2,0,0,0.9929519071310116,0.0,0.0,0.0,0.0,0.0,0.0004145936981757,0.0,0.0,0.0004145936981757,0.0,0.0,0.0004145936981757,0.0,0.0,0.0004145936981757,0.0,0.0016583747927031,0.0,0.0008291873963515,0.0,0.0
Malaysia,China,2012-03-01,2012,3,2797,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0.995373665480427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014234875444839,0.0,0.0007117437722419,0.0,0.0,0.0,0.0,0.0007117437722419,0.0,0.0,0.0,0.0
Malaysia,China,2012-04-01,2012,4,2630,0,0,0,0,1,0,1,0,0,4,0,8,0,1,1,0,1,0,0,0,0,0.992078460958129,0.0,0.0,0.0,0.0,0.0003772161448509,0.0,0.0003772161448509,0.0,0.0,0.0015088645794039,0.0,0.0030177291588079,0.0,0.0003772161448509,0.0003772161448509,0.0,0.0003772161448509,0.0,0.0,0.0,0.0
Malaysia,China,2012-05-01,2012,5,2907,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,0.9952071208490244,0.0,0.0,0.0,0.0003423485107839,0.0,0.0,0.0,0.0,0.0,0.0006846970215679,0.0,0.0006846970215679,0.0,0.0,0.0,0.0,0.0006846970215679,0.0,0.0003423485107839,0.0,0.0
Malaysia,China,2012-06-01,2012,6,2647,0,0,0,0,0,0,2,0,0,2,0,2,0,3,0,0,4,0,0,0,0,0.9910146012729316,0.0,0.0,0.0,0.0,0.0,0.0,0.0007487832272557,0.0,0.0,0.0007487832272557,0.0,0.0007487832272557,0.0,0.0011231748408835,0.0,0.0,0.0014975664545114,0.0,0.0,0.0,0.0
Malaysia,China,2012-07-01,2012,7,2631,0,0,0,0,2,0,3,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0.9943310657596371,0.0,0.0,0.0,0.0,0.000755857898715,0.0,0.0011337868480725,0.0,0.0,0.00151171579743,0.0,0.0003779289493575,0.0,0.0003779289493575,0.0,0.0,0.0,0.0,0.0003779289493575,0.0,0.0
Malaysia,China,2012-08-01,2012,8,2455,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0.9951357924604785,0.0,0.0,0.0,0.0004053506282934,0.0,0.0008107012565869,0.0,0.0,0.0,0.0016214025131738,0.0,0.0008107012565869,0.0,0.0,0.0,0.0,0.0004053506282934,0.0,0.0,0.0,0.0
Malaysia,China,2012-09-01,2012,9,2620,0,0,0,0,0,0,2,1,0,2,0,1,0,1,0,0,0,0,2,2,0,0.9946848899012908,0.0,0.0,0.0,0.0,0.0,0.0,0.0007593014426727,0.0003796507213363,0.0,0.0007593014426727,0.0,0.0003796507213363,0.0,0.0003796507213363,0.0,0.0,0.0,0.0,0.0007593014426727,0.0007593014426727,0.0
Malaysia,China,2012-10-01,2012,10,2639,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,3,0,2,0,0,0.9935993975903614,0.0,0.0003765060240963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018825301204819,0.0,0.0,0.0,0.0,0.0,0.0003765060240963,0.0011295180722891,0.0,0.0007530120481927,0.0,0.0
