country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Uzbekistan,Russia,2012-01-01,2012,1,181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989071038251366,0.0,0.0,0.0,0.0,0.0,0.0,0.0054644808743169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-02-01,2012,2,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.9885714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114285714285714,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-03-01,2012,3,203,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0.9806763285024156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048309178743961,0.0,0.0,0.0096618357487922,0.0,0.0,0.0,0.0048309178743961,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-04-01,2012,4,215,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0.9817351598173516,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-05-01,2012,5,223,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.986725663716814,0.0,0.0,0.0,0.0,0.0,0.0,0.0044247787610619,0.0,0.0,0.0088495575221238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-06-01,2012,6,218,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9775784753363228,0.0,0.0,0.0,0.0,0.0,0.0089686098654708,0.0,0.0,0.0,0.0044843049327354,0.0,0.0044843049327354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-07-01,2012,7,463,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0.9851063829787234,0.002127659574468,0.0,0.0,0.0,0.0,0.0042553191489361,0.0,0.0,0.002127659574468,0.0,0.0,0.0,0.0,0.002127659574468,0.0,0.0,0.0,0.0,0.0042553191489361,0.0,0.0
Uzbekistan,Russia,2012-08-01,2012,8,432,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0.9840546697038725,0.0,0.0,0.0,0.0,0.0,0.0045558086560364,0.0,0.0,0.0,0.0022779043280182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022779043280182,0.0045558086560364,0.0
Uzbekistan,Russia,2012-09-01,2012,9,314,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0.9781931464174456,0.0,0.0,0.0,0.0,0.0031152647975077,0.0,0.0031152647975077,0.0,0.0,0.0031152647975077,0.0,0.0031152647975077,0.0,0.0,0.0,0.0,0.0031152647975077,0.0,0.0,0.0,0.0062305295950155
Uzbekistan,Russia,2012-10-01,2012,10,333,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0.985207100591716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088757396449704,0.0,0.0,0.0,0.0029585798816568,0.0,0.0,0.0029585798816568,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2012-11-01,2012,11,288,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.9896907216494846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068728522336769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034364261168384
Uzbekistan,Russia,2012-12-01,2012,12,239,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9755102040816328,0.0,0.0,0.0,0.0,0.0,0.0163265306122449,0.0,0.0040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040816326530612,0.0,0.0
Uzbekistan,Russia,2013-01-01,2013,1,175,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9831460674157304,0.0,0.0,0.0,0.0,0.0,0.0056179775280898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056179775280898,0.0,0.0,0.0,0.0,0.0056179775280898,0.0,0.0
Uzbekistan,Russia,2013-02-01,2013,2,240,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0.975609756097561,0.0,0.0,0.0,0.0,0.0,0.0040650406504065,0.0,0.0,0.0,0.0040650406504065,0.0,0.0040650406504065,0.0,0.0040650406504065,0.0,0.0,0.0040650406504065,0.0,0.0,0.0,0.0040650406504065
Uzbekistan,Russia,2013-03-01,2013,3,219,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.9864864864864864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045045045,0.0,0.0,0.0,0.0045045045045045,0.0,0.0,0.0045045045045045,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2013-04-01,2013,4,193,0,0,0,2,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.9554455445544554,0.0,0.0,0.0,0.0099009900990099,0.0049504950495049,0.0198019801980198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049,0.0,0.0049504950495049,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Russia,2013-05-01,2013,5,188,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.9690721649484536,0.0,0.0,0.0,0.0,0.0,0.0103092783505154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154639175257731,0.0,0.0,0.0,0.0
