date,year,month,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,0.7334851936218678,0.326879271070615,0.4066059225512528,0.0034168564920273,0.0011389521640091,0.0022779043280182,0.0125284738041001,0.0045558086560364,0.0079726651480637,0.0,0.0,0.0,0.0261958997722094,0.0182232346241457,0.0079726651480637,0.015945330296127498,0.0136674259681093,0.0022779043280182,0.0,0.0,0.0,0.0,0.0,0.0,0.023917995444191202,0.0079726651480637,0.0159453302961275,0.0227790432801822,0.0216400911161731,0.0011389521640091,0.0,0.0,0.0,0.030751708428245997,0.020501138952164,0.010250569476082,0.0649202733485192,0.0364464692482915,0.0284738041002277,0.0011389521640091,0.0011389521640091,0.0,0.0011389521640091,0.0011389521640091,0.0,0.0034168564920273,0.0022779043280182,0.0011389521640091,0.0148063781321184,0.0113895216400911,0.0034168564920273,0.0022779043280182,0.0,0.0022779043280182,0.0045558086560364,0.0011389521640091,0.0034168564920273,0.0364464692482914,0.0182232346241457,0.0182232346241457,0.0102505694760819,0.0079726651480637,0.0022779043280182,427
2012-02-01,2012,2,0.6776519052523171,0.3161688980432544,0.3614830072090628,0.0010298661174047,0.0010298661174047,0.0,0.0164778578784756,0.0082389289392378,0.0082389289392378,0.0010298661174047,0.0010298661174047,0.0,0.0432543769309988,0.0247167868177136,0.0185375901132852,0.0216271884654994,0.0185375901132852,0.0030895983522142,0.0010298661174047,0.0010298661174047,0.0,0.0,0.0,0.0,0.0772399588053552,0.0504634397528321,0.0267765190525231,0.0113285272914521,0.0113285272914521,0.0,0.0,0.0,0.0,0.0360453141091657,0.0278063851699279,0.0082389289392378,0.0319258496395468,0.01956745623069,0.0123583934088568,0.0020597322348094,0.0010298661174047,0.0010298661174047,0.0041194644696188,0.0020597322348094,0.0020597322348094,0.0041194644696188,0.0020597322348094,0.0020597322348094,0.017507723995880402,0.015447991761071,0.0020597322348094,0.0010298661174047,0.0010298661174047,0.0,0.0061791967044283,0.0041194644696189,0.0020597322348094,0.0391349124613799,0.015447991761071,0.0236869207003089,0.0092687950566425,0.0041194644696189,0.0051493305870236,506
2012-03-01,2012,3,0.7413972888425443,0.3441084462982273,0.397288842544317,0.0,0.0,0.0,0.0229405630865484,0.0093847758081334,0.013555787278415,0.0,0.0,0.0,0.0385818561001042,0.0250260688216892,0.013555787278415,0.0145985401459853,0.0114702815432742,0.0031282586027111,0.0010427528675703,0.0,0.0010427528675703,0.0010427528675703,0.0010427528675703,0.0,0.0187695516162669,0.0052137643378519,0.013555787278415,0.017726798748696402,0.0166840458811261,0.0010427528675703,0.0,0.0,0.0,0.021897810218978,0.0156412930135557,0.0062565172054223,0.0344108446298226,0.0166840458811261,0.0177267987486965,0.0020855057351406,0.0010427528675703,0.0010427528675703,0.0020855057351406,0.0010427528675703,0.0010427528675703,0.0145985401459853,0.013555787278415,0.0010427528675703,0.015641293013555702,0.013555787278415,0.0020855057351407,0.0010427528675703,0.0,0.0010427528675703,0.0062565172054222,0.0020855057351407,0.0041710114702815,0.0375391032325338,0.0229405630865484,0.0145985401459854,0.0135557872784149,0.0093847758081334,0.0041710114702815,482
2012-04-01,2012,4,0.7322929171668666,0.2821128451380552,0.4501800720288115,0.0060024009603841,0.0060024009603841,0.0,0.020408163265306,0.0108043217286914,0.0096038415366146,0.0,0.0,0.0,0.0300120048019206,0.0192076830732292,0.0108043217286914,0.018007202881152398,0.0168067226890756,0.0012004801920768,0.0,0.0,0.0,0.0,0.0,0.0,0.0264105642256902,0.0096038415366146,0.0168067226890756,0.0168067226890755,0.0156062424969987,0.0012004801920768,0.0024009603841536,0.0024009603841536,0.0,0.0360144057623048,0.0264105642256902,0.0096038415366146,0.0432172869147658,0.0204081632653061,0.0228091236494597,0.0012004801920768,0.0012004801920768,0.0,0.0012004801920768,0.0,0.0012004801920768,0.0132052821128451,0.0084033613445378,0.0048019207683073,0.0084033613445377,0.0048019207683073,0.0036014405762304,0.0012004801920768,0.0012004801920768,0.0,0.0024009603841536,0.0024009603841536,0.0,0.03961584633853529,0.0228091236494597,0.0168067226890756,0.0084033613445377,0.0048019207683073,0.0036014405762304,373
2012-05-01,2012,5,0.6991228070175438,0.3114035087719298,0.387719298245614,0.0026315789473683,0.0008771929824561,0.0017543859649122,0.0307017543859648,0.0114035087719298,0.019298245614035,0.0008771929824561,0.0008771929824561,0.0,0.0315789473684209,0.0210526315789473,0.0105263157894736,0.0166666666666666,0.0157894736842105,0.0008771929824561,0.0,0.0,0.0,0.0,0.0,0.0,0.022807017543859498,0.0149122807017543,0.0078947368421052,0.0166666666666666,0.0157894736842105,0.0008771929824561,0.0008771929824561,0.0008771929824561,0.0,0.0350877192982455,0.025438596491228,0.0096491228070175,0.0333333333333332,0.0122807017543859,0.0210526315789473,0.0026315789473683,0.0017543859649122,0.0008771929824561,0.0043859649122806,0.0026315789473684,0.0017543859649122,0.0324561403508771,0.0245614035087719,0.0078947368421052,0.0087719298245613,0.0070175438596491,0.0017543859649122,0.0043859649122806,0.0035087719298245,0.0008771929824561,0.0026315789473683,0.0008771929824561,0.0017543859649122,0.0421052631578947,0.0289473684210526,0.0131578947368421,0.0210526315789473,0.0131578947368421,0.0078947368421052,575
2012-06-01,2012,6,0.6730123180291152,0.2866741321388578,0.3863381858902575,0.0011198208286674,0.0011198208286674,0.0,0.044792833146696395,0.0156774916013437,0.0291153415453527,0.0,0.0,0.0,0.0358342665173571,0.0235162374020156,0.0123180291153415,0.042553191489361604,0.0369540873460246,0.005599104143337,0.0,0.0,0.0,0.0,0.0,0.0,0.0279955207166853,0.0100783874580067,0.0179171332586786,0.0145576707726763,0.0134378499440089,0.0011198208286674,0.0022396416573348,0.0022396416573348,0.0,0.053751399776035796,0.0335946248600224,0.0201567749160134,0.0235162374020155,0.0156774916013437,0.0078387458006718,0.0033594624860022,0.0011198208286674,0.0022396416573348,0.0033594624860022,0.0022396416573348,0.0011198208286674,0.0235162374020156,0.0201567749160134,0.0033594624860022,0.0078387458006718,0.0044792833146696,0.0033594624860022,0.0033594624860022,0.0022396416573348,0.0011198208286674,0.0044792833146696,0.0033594624860022,0.0011198208286674,0.0459126539753639,0.019036954087346,0.0268756998880179,0.011198208286674,0.0044792833146696,0.0067189249720044,426
2012-07-01,2012,7,0.706806282722513,0.2963350785340314,0.4104712041884816,0.0020942408376962,0.0010471204188481,0.0010471204188481,0.037696335078534,0.0031413612565445,0.0345549738219895,0.0,0.0,0.0,0.034554973821989396,0.0198952879581151,0.0146596858638743,0.0167539267015706,0.0136125654450261,0.0031413612565445,0.0031413612565444,0.0020942408376963,0.0010471204188481,0.0,0.0,0.0,0.0209424083769632,0.0041884816753926,0.0167539267015706,0.0324607329842931,0.0324607329842931,0.0,0.0020942408376963,0.0020942408376963,0.0,0.0240837696335077,0.0136125654450261,0.0104712041884816,0.0209424083769632,0.0136125654450261,0.0073298429319371,0.0020942408376963,0.0020942408376963,0.0,0.0052356020942408,0.0020942408376963,0.0031413612565445,0.020942408376963297,0.0157068062827225,0.0052356020942408,0.0073298429319371,0.0073298429319371,0.0,0.0010471204188481,0.0010471204188481,0.0,0.0041884816753926,0.0020942408376963,0.0020942408376963,0.0408376963350784,0.0136125654450261,0.0272251308900523,0.0198952879581151,0.0115183246073298,0.0083769633507853,431
2012-08-01,2012,8,0.6852941176470588,0.307843137254902,0.3774509803921568,0.0009803921568627,0.0009803921568627,0.0,0.0421568627450979,0.0205882352941176,0.0215686274509803,0.0019607843137254,0.0019607843137254,0.0,0.0245098039215685,0.0098039215686274,0.0147058823529411,0.0196078431372548,0.0166666666666666,0.0029411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0441176470588234,0.030392156862745,0.0137254901960784,0.0186274509803921,0.0186274509803921,0.0,0.0049019607843137,0.0049019607843137,0.0,0.0401960784313725,0.0313725490196078,0.0088235294117647,0.0411764705882352,0.0235294117647058,0.0176470588235294,0.0009803921568627,0.0,0.0009803921568627,0.0058823529411763,0.0019607843137254,0.0039215686274509,0.022549019607843,0.0205882352941176,0.0019607843137254,0.0176470588235293,0.0166666666666666,0.0009803921568627,0.0029411764705881,0.0019607843137254,0.0009803921568627,0.0039215686274509005,0.0029411764705882,0.0009803921568627,0.0254901960784313,0.0137254901960784,0.0117647058823529,0.0049019607843136005,0.0029411764705882,0.0019607843137254,530
2012-09-01,2012,9,0.6936708860759494,0.2848101265822785,0.4088607594936709,0.0025316455696202,0.0025316455696202,0.0,0.0354430379746835,0.0164556962025316,0.0189873417721519,0.0,0.0,0.0,0.0354430379746835,0.0164556962025316,0.0189873417721519,0.021518987341772,0.0177215189873417,0.0037974683544303,0.0,0.0,0.0,0.0,0.0,0.0,0.0265822784810125,0.0126582278481012,0.0139240506329113,0.0215189873417721,0.0215189873417721,0.0,0.0037974683544303,0.0037974683544303,0.0,0.0354430379746834,0.0265822784810126,0.0088607594936708,0.021518987341772,0.0088607594936708,0.0126582278481012,0.0,0.0,0.0,0.012658227848101201,0.010126582278481,0.0025316455696202,0.0253164556962024,0.0177215189873417,0.0075949367088607,0.011392405063290999,0.0088607594936708,0.0025316455696202,0.0,0.0,0.0,0.0050632911392404,0.0037974683544303,0.0012658227848101,0.049367088607594894,0.030379746835443,0.0189873417721519,0.0088607594936708,0.0050632911392405,0.0037974683544303,379
2012-10-01,2012,10,0.7138297872340424,0.3170212765957447,0.3968085106382978,0.0031914893617021,0.0031914893617021,0.0,0.027659574468085,0.0085106382978723,0.0191489361702127,0.0031914893617021,0.0031914893617021,0.0,0.0319148936170212,0.0234042553191489,0.0085106382978723,0.0287234042553191,0.0234042553191489,0.0053191489361702,0.001063829787234,0.001063829787234,0.0,0.001063829787234,0.001063829787234,0.0,0.0170212765957446,0.0063829787234042,0.0106382978723404,0.0297872340425531,0.0287234042553191,0.001063829787234,0.002127659574468,0.002127659574468,0.0,0.0414893617021276,0.0234042553191489,0.0180851063829787,0.0244680851063829,0.0117021276595744,0.0127659574468085,0.001063829787234,0.001063829787234,0.0,0.0053191489361701,0.0042553191489361,0.001063829787234,0.0234042553191489,0.0127659574468085,0.0106382978723404,0.0053191489361701,0.0042553191489361,0.001063829787234,0.001063829787234,0.001063829787234,0.0,0.0031914893617020004,0.002127659574468,0.001063829787234,0.0436170212765957,0.0234042553191489,0.0202127659574468,0.005319148936170101,0.0031914893617021,0.002127659574468,466
