date,year,month,-999Norm,cr_-999Norm,nr_-999Norm,activismNorm,cr_activismNorm,nr_activismNorm,arrestNorm,cr_arrestNorm,nr_arrestNorm,censorNorm,cr_censorNorm,nr_censorNorm,cooperateNorm,cr_cooperateNorm,nr_cooperateNorm,corruptionNorm,cr_corruptionNorm,nr_corruptionNorm,coupNorm,cr_coupNorm,nr_coupNorm,defamationcaseNorm,cr_defamationcaseNorm,nr_defamationcaseNorm,disasterNorm,cr_disasterNorm,nr_disasterNorm,electionactivityNorm,cr_electionactivityNorm,nr_electionactivityNorm,electionirregularitiesNorm,cr_electionirregularitiesNorm,nr_electionirregularitiesNorm,legalactionNorm,cr_legalactionNorm,nr_legalactionNorm,legalchangeNorm,cr_legalchangeNorm,nr_legalchangeNorm,martiallawNorm,cr_martiallawNorm,nr_martiallawNorm,mobilizesecurityNorm,cr_mobilizesecurityNorm,nr_mobilizesecurityNorm,protestNorm,cr_protestNorm,nr_protestNorm,purgeNorm,cr_purgeNorm,nr_purgeNorm,raidNorm,cr_raidNorm,nr_raidNorm,threatenNorm,cr_threatenNorm,nr_threatenNorm,violencelethalNorm,cr_violencelethalNorm,nr_violencelethalNorm,violencenonlethalNorm,cr_violencenonlethalNorm,nr_violencenonlethalNorm,total_articles
2012-01-01,2012,1,0.8076062639821029,0.261744966442953,0.5458612975391499,0.0022371364653243,0.0022371364653243,0.0,0.0033557046979864,0.0022371364653243,0.0011185682326621,0.0011185682326621,0.0011185682326621,0.0,0.0234899328859059,0.0167785234899328,0.0067114093959731,0.013422818791946201,0.0089485458612975,0.0044742729306487,0.0011185682326621,0.0011185682326621,0.0,0.0011185682326621,0.0011185682326621,0.0,0.0145413870246084,0.0044742729306487,0.0100671140939597,0.0346756152125279,0.0346756152125279,0.0,0.0033557046979865,0.0033557046979865,0.0,0.0357941834451901,0.0246085011185682,0.0111856823266219,0.0167785234899328,0.0033557046979865,0.0134228187919463,0.0,0.0,0.0,0.0022371364653243,0.0022371364653243,0.0,0.013422818791946201,0.0111856823266219,0.0022371364653243,0.0078299776286352,0.0055928411633109,0.0022371364653243,0.0,0.0,0.0,0.0022371364653243,0.0022371364653243,0.0,0.0078299776286352,0.0011185682326621,0.0067114093959731,0.0156599552572706,0.0111856823266219,0.0044742729306487,352
2012-02-01,2012,2,0.8174962292609351,0.22473604826546,0.5927601809954751,0.0,0.0,0.0,0.009049773755656,0.0015082956259426,0.0075414781297134,0.0,0.0,0.0,0.0241327300150828,0.0105580693815987,0.0135746606334841,0.0120663650075414,0.0075414781297134,0.004524886877828,0.0015082956259426,0.0015082956259426,0.0,0.0045248868778278994,0.0030165912518853,0.0015082956259426,0.0075414781297133,0.0060331825037707,0.0015082956259426,0.0180995475113122,0.0180995475113122,0.0,0.004524886877828,0.004524886877828,0.0,0.0316742081447963,0.0196078431372549,0.0120663650075414,0.0226244343891401,0.0105580693815987,0.0120663650075414,0.0015082956259426,0.0,0.0015082956259426,0.0075414781297133,0.004524886877828,0.0030165912518853,0.0135746606334841,0.0075414781297134,0.0060331825037707,0.0060331825037707,0.0060331825037707,0.0,0.0,0.0,0.0,0.0060331825037706,0.004524886877828,0.0015082956259426,0.0105580693815987,0.004524886877828,0.0060331825037707,0.0150829562594267,0.0105580693815987,0.004524886877828,224
2012-03-01,2012,3,0.7935064935064935,0.1779220779220779,0.6155844155844156,0.0038961038961036996,0.0012987012987012,0.0025974025974025,0.0116883116883115,0.0038961038961038,0.0077922077922077,0.0,0.0,0.0,0.0389610389610388,0.0194805194805194,0.0194805194805194,0.0077922077922076005,0.0064935064935064,0.0012987012987012,0.0025974025974024,0.0012987012987012,0.0012987012987012,0.0,0.0,0.0,0.0116883116883115,0.0038961038961038,0.0077922077922077,0.0090909090909089,0.0077922077922077,0.0012987012987012,0.0012987012987012,0.0012987012987012,0.0,0.0298701298701297,0.0103896103896103,0.0194805194805194,0.0298701298701297,0.0103896103896103,0.0194805194805194,0.0,0.0,0.0,0.0012987012987012,0.0,0.0012987012987012,0.023376623376623197,0.0168831168831168,0.0064935064935064,0.009090909090909,0.009090909090909,0.0,0.0012987012987012,0.0012987012987012,0.0,0.0012987012987012,0.0012987012987012,0.0,0.0103896103896102,0.0077922077922077,0.0025974025974025,0.0142857142857141,0.0077922077922077,0.0064935064935064,222
2012-04-01,2012,4,0.8086124401913876,0.1786283891547049,0.6299840510366826,0.0047846889952152,0.0031897926634768,0.0015948963317384,0.0079744816586921,0.0031897926634768,0.0047846889952153,0.0,0.0,0.0,0.017543859649122702,0.0095693779904306,0.0079744816586921,0.0127591706539074,0.0095693779904306,0.0031897926634768,0.0047846889952152,0.0031897926634768,0.0015948963317384,0.0,0.0,0.0,0.0303030303030302,0.0175438596491228,0.0127591706539074,0.019138755980861198,0.0175438596491228,0.0015948963317384,0.0015948963317384,0.0015948963317384,0.0,0.0334928229665071,0.0159489633173843,0.0175438596491228,0.0239234449760765,0.0143540669856459,0.0095693779904306,0.0,0.0,0.0,0.0015948963317384,0.0015948963317384,0.0,0.011164274322169002,0.0095693779904306,0.0015948963317384,0.0,0.0,0.0,0.0015948963317384,0.0,0.0015948963317384,0.0015948963317384,0.0015948963317384,0.0,0.022328548644338003,0.0127591706539074,0.0095693779904306,0.0063795853269537,0.0,0.0063795853269537,184
2012-05-01,2012,5,0.7995198079231692,0.2256902761104441,0.5738295318127251,0.0012004801920768,0.0,0.0012004801920768,0.013205282112845,0.0060024009603841,0.0072028811524609,0.0,0.0,0.0,0.0144057623049218,0.0072028811524609,0.0072028811524609,0.0084033613445377,0.0060024009603841,0.0024009603841536,0.0012004801920768,0.0012004801920768,0.0,0.0012004801920768,0.0,0.0012004801920768,0.0288115246098438,0.0096038415366146,0.0192076830732292,0.0132052821128451,0.0132052821128451,0.0,0.0012004801920768,0.0012004801920768,0.0,0.0324129651860743,0.0216086434573829,0.0108043217286914,0.020408163265306,0.0156062424969987,0.0048019207683073,0.0,0.0,0.0,0.0012004801920768,0.0012004801920768,0.0,0.034813925570228,0.0252100840336134,0.0096038415366146,0.0084033613445377,0.0072028811524609,0.0012004801920768,0.0036014405762304,0.0,0.0036014405762304,0.0024009603841536,0.0012004801920768,0.0012004801920768,0.0084033613445377,0.0048019207683073,0.0036014405762304,0.0108043217286913,0.0072028811524609,0.0036014405762304,292
2012-06-01,2012,6,0.8089053803339518,0.2189239332096475,0.5899814471243042,0.0,0.0,0.0,0.0185528756957327,0.0055658627087198,0.0129870129870129,0.0,0.0,0.0,0.0148423005565862,0.0074211502782931,0.0074211502782931,0.0111317254174396,0.0092764378478664,0.0018552875695732,0.0018552875695732,0.0018552875695732,0.0,0.0,0.0,0.0,0.012987012987012901,0.0055658627087198,0.0074211502782931,0.0148423005565862,0.0092764378478664,0.0055658627087198,0.0018552875695732,0.0018552875695732,0.0,0.0389610389610389,0.0222634508348794,0.0166975881261595,0.033395176252319,0.0166975881261595,0.0166975881261595,0.0018552875695732,0.0,0.0018552875695732,0.007421150278293,0.0055658627087198,0.0018552875695732,0.0204081632653061,0.0092764378478664,0.0111317254174397,0.0074211502782931,0.0074211502782931,0.0,0.0,0.0,0.0,0.0037105751391465,0.0037105751391465,0.0,0.007421150278293,0.0055658627087198,0.0018552875695732,0.0018552875695732,0.0018552875695732,0.0,175
2012-07-01,2012,7,0.7872596153846153,0.1862980769230769,0.6009615384615384,0.0024038461538461,0.0,0.0024038461538461,0.008413461538461401,0.0024038461538461,0.0060096153846153,0.0,0.0,0.0,0.0096153846153845,0.0060096153846153,0.0036057692307692,0.0108173076923076,0.0048076923076923,0.0060096153846153,0.001201923076923,0.0,0.001201923076923,0.0,0.0,0.0,0.016826923076923,0.0036057692307692,0.0132211538461538,0.033653846153846007,0.032451923076923,0.001201923076923,0.0084134615384615,0.0084134615384615,0.0,0.034855769230769204,0.015625,0.0192307692307692,0.0180288461538461,0.0096153846153846,0.0084134615384615,0.0024038461538461,0.0024038461538461,0.0,0.0036057692307691,0.001201923076923,0.0024038461538461,0.033653846153846,0.0276442307692307,0.0060096153846153,0.0096153846153845,0.0084134615384615,0.001201923076923,0.001201923076923,0.0,0.001201923076923,0.001201923076923,0.0,0.001201923076923,0.0120192307692307,0.0024038461538461,0.0096153846153846,0.0108173076923076,0.0060096153846153,0.0048076923076923,261
2012-08-01,2012,8,0.7086903304773561,0.1603427172582619,0.5483476132190942,0.0,0.0,0.0,0.0171358629130966,0.00734394124847,0.0097919216646266,0.0,0.0,0.0,0.0171358629130966,0.0097919216646266,0.00734394124847,0.0257037943696449,0.0159118727050183,0.0097919216646266,0.0012239902080783,0.0012239902080783,0.0,0.0,0.0,0.0,0.04406364749081999,0.0244798041615667,0.0195838433292533,0.0354957160342716,0.02937576499388,0.0061199510403916,0.0048959608323133,0.0048959608323133,0.0,0.06731946144430839,0.0318237454100367,0.0354957160342717,0.0146878824969399,0.0061199510403916,0.0085679314565483,0.0012239902080783,0.0,0.0012239902080783,0.0048959608323133,0.0012239902080783,0.003671970624235,0.0305997552019583,0.025703794369645,0.0048959608323133,0.011015911872704901,0.0048959608323133,0.0061199510403916,0.0012239902080783,0.0,0.0012239902080783,0.0024479804161566,0.0024479804161566,0.0,0.0183598531211749,0.0085679314565483,0.0097919216646266,0.0122399020807833,0.003671970624235,0.0085679314565483,268
2012-09-01,2012,9,0.7554806070826307,0.1871838111298482,0.5682967959527825,0.0016863406408094,0.0016863406408094,0.0,0.013490725126475499,0.0050590219224283,0.0084317032040472,0.0,0.0,0.0,0.0168634064080943,0.0151770657672849,0.0016863406408094,0.0252951096121415,0.0151770657672849,0.0101180438448566,0.0,0.0,0.0,0.0,0.0,0.0,0.0691399662731871,0.0505902192242833,0.0185497470489038,0.0236087689713321,0.0202360876897133,0.0033726812816188,0.0033726812816188,0.0033726812816188,0.0,0.055649241146711506,0.0286677908937605,0.026981450252951,0.013490725126475499,0.0084317032040472,0.0050590219224283,0.0,0.0,0.0,0.0050590219224282,0.0033726812816188,0.0016863406408094,0.0084317032040472,0.0084317032040472,0.0,0.0050590219224283,0.0050590219224283,0.0,0.0,0.0,0.0,0.0016863406408094,0.0016863406408094,0.0,0.010118043844856501,0.0033726812816188,0.0067453625632377,0.011804384485666,0.0084317032040472,0.0033726812816188,210
2012-10-01,2012,10,0.7931034482758621,0.1934032983508246,0.5997001499250375,0.0,0.0,0.0,0.0134932533733132,0.0059970014992503,0.0074962518740629,0.0,0.0,0.0,0.0164917541229384,0.0089955022488755,0.0074962518740629,0.0059970014992502,0.0029985007496251,0.0029985007496251,0.0,0.0,0.0,0.0,0.0,0.0,0.014992503748125802,0.0119940029985007,0.0029985007496251,0.0644677661169414,0.0584707646176911,0.0059970014992503,0.0029985007496251,0.0029985007496251,0.0,0.025487256371814,0.0059970014992503,0.0194902548725637,0.017991004497751,0.0104947526236881,0.0074962518740629,0.0,0.0,0.0,0.0,0.0,0.0,0.0164917541229384,0.0134932533733133,0.0029985007496251,0.0044977511244377,0.0044977511244377,0.0,0.0014992503748125,0.0014992503748125,0.0,0.0014992503748125,0.0,0.0014992503748125,0.010494752623688,0.0059970014992503,0.0044977511244377,0.0134932533733132,0.0059970014992503,0.0074962518740629,222
